relative_time,AccX
0,0.21195922851562501
68,0.22019210815429688
134,0.267044677734375
200,0.22034179687500002
269,0.21136047363281252
334,0.25626708984375
400,0.23396347045898438
468,0.20207977294921875
534,0.2484832763671875
600,0.24040008544921876
668,0.19714004516601563
734,0.22947280883789065
800,0.24668701171875002
868,0.20597167968750002
934,0.21106109619140626
1000,0.23486160278320314
1068,0.20791763305664063
1134,0.19010467529296876
1200,0.23396347045898438
1288,0.199984130859375
1334,0.19160156250000002
1400,0.22228775024414063
1468,0.2185455322265625
1534,0.19025436401367188
1600,0.21480331420898438
1668,0.23561004638671876
1734,0.20627105712890625
1800,0.2082170104980469
1868,0.23396347045898438
1934,0.21405487060546877
2000,0.2118095397949219
2068,0.23516098022460938
2134,0.22543121337890626
2200,0.20118164062500002
2269,0.24040008544921876
2334,0.23126907348632814
2400,0.21285736083984377
2467,0.22902374267578127
2534,0.2315684509277344
2600,0.22617965698242187
2668,0.22303619384765627
2734,0.2327659606933594
2800,0.22528152465820314
2867,0.22662872314453125
2934,0.24489074707031253
3000,0.22423370361328127
3068,0.23067031860351564
3134,0.23665786743164063
3200,0.238304443359375
3269,0.21764739990234377
3334,0.24084915161132814
3400,0.23620880126953125
3468,0.22288650512695313
3534,0.22647903442382813
3600,0.23575973510742188
3668,0.2183958435058594
3734,0.22513183593750002
3800,0.22887405395507815
3868,0.2118095397949219
3934,0.2165995788574219
4000,0.223934326171875
4068,0.21151016235351563
4134,0.20522323608398438
4200,0.22348526000976562
4269,0.2219883728027344
4334,0.21195922851562501
4400,0.2125579833984375
4468,0.22408401489257815
4534,0.20492385864257814
4600,0.22153930664062502
4668,0.2221380615234375
4734,0.22004241943359376
4800,0.2219883728027344
4868,0.23531066894531252
4934,0.22288650512695313
5000,0.22513183593750002
5068,0.2369572448730469
5134,0.22378463745117189
5200,0.2165995788574219
5269,0.23321502685546877
5334,0.22767654418945313
5401,0.22842498779296877
5468,0.23052062988281252
5534,0.2285746765136719
5600,0.2185455322265625
5668,0.22827529907226562
5734,0.233514404296875
5800,0.22962249755859376
5867,0.23067031860351564
5934,0.2293231201171875
6000,0.238304443359375
6067,0.22588027954101564
6134,0.23531066894531252
6200,0.2333647155761719
6283,0.2231858825683594
6334,0.23725662231445313
6400,0.23186782836914063
6467,0.21794677734375
6534,0.2245330810546875
6600,0.2285746765136719
6668,0.2124082946777344
6734,0.2130070495605469
6800,0.2219883728027344
6868,0.20507354736328126
6934,0.20612136840820314
7000,0.2089654541015625
7068,0.2070195007324219
7134,0.20657043457031252
7200,0.2136058044433594
7268,0.20312759399414063
7335,0.20686981201171875
7400,0.22034179687500002
7468,0.209564208984375
7534,0.21151016235351563
7601,0.21330642700195312
7667,0.2231858825683594
7734,0.21824615478515627
7800,0.22123992919921875
7868,0.22827529907226562
7934,0.22109024047851564
8001,0.22632934570312502
8068,0.22348526000976562
8134,0.22647903442382813
8200,0.23306533813476563
8268,0.233514404296875
8334,0.23111938476562502
8400,0.2329156494140625
8467,0.24025039672851564
8534,0.23605911254882814
8600,0.228724365234375
8667,0.23007156372070314
8734,0.2341131591796875
8800,0.23980133056640626
8867,0.2389031982421875
8934,0.22902374267578127
9000,0.2329156494140625
9067,0.22977218627929688
9134,0.22348526000976562
9200,0.2171983337402344
9268,0.22498214721679688
9334,0.22303619384765627
9400,0.20941452026367188
9468,0.21315673828125
9534,0.20836669921875
9600,0.20941452026367188
9667,0.20178039550781252
9734,0.20851638793945312
9800,0.20432510375976565
9868,0.1968406677246094
9934,0.1980381774902344
10000,0.2077679443359375
10067,0.1933978271484375
10134,0.20672012329101563
10200,0.21076171875000002
10268,0.22123992919921875
10334,0.20866607666015627
10400,0.21225860595703125
10467,0.21270767211914063
10534,0.21405487060546877
10600,0.2219883728027344
10667,0.22378463745117189
10734,0.21929397583007815
10800,0.22842498779296877
10868,0.23052062988281252
10934,0.22408401489257815
11000,0.22917343139648438
11067,0.24099884033203126
11134,0.22498214721679688
11200,0.2321672058105469
11287,0.2424957275390625
11334,0.23261627197265627
11400,0.23246658325195313
11467,0.23845413208007812
11534,0.238304443359375
11600,0.23665786743164063
11667,0.23620880126953125
11734,0.23052062988281252
11800,0.23171813964843752
11867,0.23141876220703125
